Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
2,94,108,1,14,0,1320,0,65,58,3,1,14,2.489712178296,234.74429109648,0.0,2.34,2.0879999999999996,0,0
3,93,108,2,20,0,1400,0,51,51,5,1,34,6.046443861576,248.9712178296,0.0,1.8359999999999999,1.8359999999999999,0,0
2,93,108,2,13,0,1400,0,44,44,4,0,47,8.358319455708,248.9712178296,0.0,1.5839999999999999,1.5839999999999999,0,0
1,91,104,1,13,0,1400,0,47,43,2,0,60,10.67019504984,248.9712178296,0.0,1.692,1.5479999999999998,0,0
0,93,106,2,14,0,1400,0,41,42,2,-2,74,13.159907228136,248.9712178296,0.0,1.476,1.5119999999999998,0,0
2,92,105,1,14,0,1400,0,40,44,3,1,88,15.649619406432,248.9712178296,0.0,1.44,1.5839999999999999,0,0
1,96,111,2,14,0,1400,0,42,41,3,-1,102,18.139331584728,248.9712178296,0.0,1.5119999999999998,1.476,0,0
2,91,108,3,14,0,1400,0,40,44,5,-1,116,20.629043763024,248.9712178296,0.0,1.44,1.5839999999999999,0,0
1,91,109,2,15,0,1400,0,38,37,3,-1,131,23.296592525484,248.9712178296,0.0,1.3679999999999999,1.3319999999999999,0,0
3,88,109,3,16,0,1400,0,33,33,6,0,147,26.141977872108,248.9712178296,0.0,1.188,1.188,0,0
2,91,117,3,16,0,1400,0,32,32,5,-1,163,28.987363218732,248.9712178296,0.0,1.152,1.152,0,0
1,90,114,3,15,0,1400,0,39,31,4,-2,178,31.654911981192,248.9712178296,0.0,1.404,1.1159999999999999,0,0
1,96,125,3,15,0,1400,0,34,35,4,-2,193,34.322460743652,248.9712178296,0.0,1.224,1.26,0,0
3,97,125,3,15,0,1400,0,32,36,6,0,208,36.990009506112,248.9712178296,0.0,1.152,1.2959999999999998,0,0
2,98,129,3,15,0,1400,0,32,35,5,-1,223,39.657558268572,248.9712178296,0.0,1.152,1.26,0,0
2,96,127,3,15,0,1400,0,31,34,5,-1,238,42.325107031032,248.9712178296,0.0,1.1159999999999999,1.224,0,0
2,98,130,3,14,0,1400,0,36,36,5,-1,252,44.814819209328,248.9712178296,0.0,1.2959999999999998,1.2959999999999998,0,0
1,97,131,3,14,0,1400,0,38,34,4,-2,266,47.304531387624,248.9712178296,0.0,1.3679999999999999,1.224,0,0
1,97,128,3,15,0,1400,0,36,29,4,-2,281,49.972080150084,248.9712178296,0.0,1.2959999999999998,1.0439999999999998,0,0
