Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
1,97,100,2,14,0,1400,0,66,62,3,-1,14,2.489712178296,248.9712178296,0.0,2.376,2.2319999999999998,0,0
1,97,104,2,20,0,1960,0,78,75,3,-1,34,6.046443861576,348.55970496144,0.0,2.808,2.6999999999999997,0,0
1,97,102,1,16,0,2240,0,78,75,2,0,50,8.8918292082,398.35394852736,0.0,2.808,2.6999999999999997,0,0
1,96,103,2,18,0,2520,0,87,88,3,-1,68,12.092887723152,448.14819209328,0.0,3.1319999999999997,3.1679999999999997,0,0
1,97,102,1,22,0,2800,0,91,91,2,0,90,16.00529257476,497.9424356592,0.0,3.276,3.276,0,0
1,95,102,1,27,0,3080,0,88,84,2,0,117,20.806880347188,547.73667922512,0.0,3.1679999999999997,3.0239999999999996,0,0
1,93,111,1,30,0,3360,0,103,80,2,0,147,26.141977872108,597.53092279104,0.0,3.7079999999999997,2.88,0,0
0,88,113,2,27,0,3640,0,126,114,2,-2,174,30.943565644536,647.32516635696,0.0,4.536,4.104,0,0
2,88,118,2,31,0,3920,0,128,122,4,0,205,36.45649975362,697.11940992288,0.0,4.608,4.3919999999999995,0,0
2,90,129,0,36,0,4200,0,121,130,2,2,241,42.858616783524,746.9136534888,0.0,4.356,4.68,0,0
1,82,139,2,42,0,4480,0,115,118,3,-1,283,50.327753318412,796.70789705472,0.0,4.14,4.247999999999999,0,0
1,75,156,2,43,0,4760,0,132,127,3,-1,326,57.974726437464,846.50214062064,0.0,4.752,4.572,0,0
1,74,169,1,43,0,5040,0,151,143,2,0,369,65.621699556516,896.29638418656,0.0,5.436,5.148,0,0
1,72,175,1,47,0,5320,0,150,151,2,0,416,73.980019012224,946.09062775248,0.0,5.3999999999999995,5.436,0,0
1,70,184,1,54,0,5600,0,142,142,2,0,470,83.58319455708,995.8848713184,0.0,5.111999999999999,5.111999999999999,0,0
2,66,191,2,54,0,5880,0,153,157,4,0,524,93.186370101936,1045.67911488432,0.0,5.508,5.651999999999999,0,0
2,66,200,1,56,0,6160,0,165,164,3,1,580,103.14521881512,1095.47335845024,0.0,5.9399999999999995,5.904,0,0
3,61,208,2,60,0,6440,0,167,167,5,1,640,113.81541386496,1145.26760201616,0.0,6.012,6.012,0,0
2,55,217,2,61,0,6720,0,177,184,4,0,701,124.663445498964,1195.06184558208,0.0,6.372,6.624,0,0
3,50,226,1,65,0,7000,0,173,195,4,2,766,136.222823469624,1244.856089148,0.0,6.228,7.02,0,0
2,47,233,3,68,0,7280,0,172,200,5,-1,834,148.315711192776,1294.65033271392,0.0,6.191999999999999,7.199999999999999,0,0
3,46,244,2,71,0,7000,0,154,177,5,1,905,160.94210866842,1244.856089148,0.0,5.544,6.372,0,0
2,45,253,4,72,0,6720,0,132,159,6,-2,977,173.746342728228,1195.06184558208,0.0,4.752,5.723999999999999,0,0
3,45,256,3,71,0,6440,0,120,143,6,0,1048,186.372740203872,1145.26760201616,0.0,4.319999999999999,5.148,0,0
5,44,257,3,67,0,6160,0,118,137,8,2,1115,198.28779134286,1095.47335845024,0.0,4.247999999999999,4.9319999999999995,0,0
6,45,255,3,66,0,5880,0,105,121,9,3,1181,210.025005897684,1045.67911488432,0.0,3.78,4.356,0,0
9,43,251,3,64,0,5600,0,96,113,12,6,1245,221.40654728418,995.8848713184,0.0,3.4559999999999995,4.068,0,0
14,48,243,6,61,0,5320,0,92,101,20,8,1306,232.254578918184,946.09062775248,0.0,3.312,3.6359999999999997,0,0
16,51,232,9,58,0,5040,0,87,90,25,7,1364,242.569100799696,896.29638418656,0.0,3.1319999999999997,3.2399999999999998,0,0
15,52,195,10,55,0,4760,0,83,78,25,5,1419,252.350112928716,846.50214062064,0.0,2.988,2.808,0,0
20,55,16,14,54,0,4480,0,70,59,34,6,1473,261.953288473572,796.70789705472,0.0,2.52,2.1239999999999997,0,0
22,61,4,18,50,0,4200,0,68,58,40,4,1523,270.845117681772,746.9136534888,0.0,2.448,2.0879999999999996,0,0
23,57,5,21,47,0,3920,0,66,44,44,2,1570,279.20343713748,697.11940992288,0.0,2.376,1.5839999999999999,0,0
25,57,5,23,42,0,3640,0,61,49,48,2,1612,286.672573672368,647.32516635696,0.0,2.1959999999999997,1.7639999999999998,0,0
30,61,3,27,41,0,3360,0,39,41,57,3,1653,293.963873623092,597.53092279104,0.0,1.404,1.476,0,0
30,58,5,30,38,0,3080,0,26,38,60,0,1691,300.721663821324,547.73667922512,0.0,0.9359999999999999,1.3679999999999999,0,0
36,56,4,34,32,0,2800,0,38,40,70,2,1723,306.412434514572,497.9424356592,0.0,1.3679999999999999,1.44,0,0
38,58,5,37,31,0,2520,0,24,27,75,1,1754,311.925368623656,448.14819209328,0.0,0.8639999999999999,0.972,0,0
43,58,7,41,29,0,2240,0,19,11,84,2,1783,317.082629564412,398.35394852736,0.0,0.6839999999999999,0.39599999999999996,0,0
45,58,5,45,24,0,2000,0,21,18,90,0,1807,321.350707584348,355.673168328,0.0,0.7559999999999999,0.6479999999999999,0,0
51,61,5,50,21,0,2000,0,31,27,101,1,1828,325.085275851792,355.673168328,0.0,1.1159999999999999,0.972,0,0
52,60,7,52,20,0,2000,0,32,33,104,0,1848,328.642007535072,355.673168328,0.0,1.152,1.188,0,0
60,59,5,57,21,2,2000,0,26,30,117,3,1869,332.376575802516,355.673168328,0.0,0.9359999999999999,1.0799999999999998,0,2
63,61,5,62,19,2,2000,-303,38,34,125,1,1888,335.755470901632,355.673168328,-41.164714285671,1.3679999999999999,1.224,0,2
64,60,5,63,18,2,2000,-606,55,25,127,1,1906,338.956529416584,355.673168328,-82.329428571342,1.9799999999999998,0.8999999999999999,0,2
67,60,7,66,18,2,2000,-909,66,16,133,1,1924,342.157587931536,355.673168328,-123.49414285701302,2.376,0.576,0,2
72,60,8,68,19,2,2000,-1212,72,5,140,4,1943,345.536483030652,355.673168328,-164.658857142684,2.5919999999999996,0.18,0,2
78,57,7,67,17,2,2000,-1515,86,7,145,11,1960,348.55970496144,355.673168328,-205.82357142835502,3.0959999999999996,0.252,0,2
91,55,6,64,18,2,2000,-1818,87,2,155,27,1978,351.760763476392,355.673168328,-246.98828571402603,3.1319999999999997,0.072,0,2
109,63,9,59,18,2,2000,-2121,89,2,168,50,1996,354.961821991344,355.673168328,-288.15299999969704,3.2039999999999997,0.072,0,2
133,64,10,47,17,2,2000,-2424,92,9,180,86,2013,357.985043922132,355.673168328,-329.317714285368,3.312,0.32399999999999995,0,2
143,69,10,30,18,2,2000,-2727,90,7,173,113,2031,361.186102437084,355.673168328,-370.482428571039,3.2399999999999998,0.252,0,2
132,86,8,7,18,2,2000,-3030,89,10,139,125,2049,364.387160952036,355.673168328,-411.64714285671005,3.2039999999999997,0.36,0,2
125,105,4,4,19,2,2000,-3108,87,6,129,121,2068,367.766056051152,355.673168328,-422.243999999556,3.1319999999999997,0.21599999999999997,0,2
124,125,3,4,19,2,2000,-3108,84,11,128,120,2087,371.144951150268,355.673168328,-422.243999999556,3.0239999999999996,0.39599999999999996,0,2
128,148,2,4,19,2,2000,-3108,79,17,132,124,2106,374.523846249384,355.673168328,-422.243999999556,2.844,0.612,0,2
124,177,2,4,20,2,2000,-3108,71,18,128,120,2126,378.080577932664,355.673168328,-422.243999999556,2.5559999999999996,0.6479999999999999,0,2
124,204,3,5,21,2,2000,-3108,69,12,129,119,2147,381.815146200108,355.673168328,-422.243999999556,2.484,0.43199999999999994,0,2
119,250,0,5,20,2,2000,-3108,72,15,124,114,2167,385.371877883388,355.673168328,-422.243999999556,2.5919999999999996,0.5399999999999999,0,2
111,303,3,8,19,2,2000,-3108,78,17,119,103,2186,388.750772982504,355.673168328,-422.243999999556,2.808,0.612,0,2
96,314,1,8,20,2,2000,-3108,77,12,104,88,2206,392.307504665784,355.673168328,-422.243999999556,2.772,0.43199999999999994,0,2
46,270,2,5,20,2,2000,-3108,78,11,51,41,2226,395.864236349064,355.673168328,-422.243999999556,2.808,0.39599999999999996,0,2
10,225,3,3,20,2,2000,-3108,76,13,13,7,2246,399.420968032344,355.673168328,-422.243999999556,2.7359999999999998,0.46799999999999997,0,2
7,166,5,2,19,2,2000,-3108,82,15,9,5,2265,402.79986313146,355.673168328,-422.243999999556,2.952,0.5399999999999999,0,2
9,28,11,2,20,2,2000,-3108,79,11,11,7,2285,406.35659481474,355.673168328,-422.243999999556,2.844,0.39599999999999996,0,2
13,8,22,1,21,2,2000,-2805,70,12,14,12,2306,410.091163082184,355.673168328,-381.07928571388504,2.52,0.43199999999999994,0,2
13,6,40,2,20,2,2000,-2502,65,24,15,11,2326,413.647894765464,355.673168328,-339.91457142821406,2.34,0.8639999999999999,0,2
17,5,65,0,19,2,2000,-2199,58,39,17,17,2345,417.02678986458,355.673168328,-298.749857142543,2.0879999999999996,1.404,0,2
