Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
1,105,99,3,14,0,1400,0,66,62,0,0,2847,4,-2,14,2.489712178296,248.9712178296,0.0,2.376,2.2319999999999998,0,0,0.0,0.0
3,104,94,2,19,0,1960,0,82,78,0,0,2849,5,1,33,5.868607277412,348.55970496144,0.0,2.952,2.808,0,0,0.02,168.9447549558
1,102,93,1,16,0,2240,0,79,75,0,0,2850,2,0,49,8.713992624036,398.35394852736,0.0,2.844,2.6999999999999997,0,0,0.03,284.53853466240014
2,100,95,1,18,0,2520,0,88,88,0,0,2851,3,1,67,11.915051138988,448.14819209328,0.0,3.1679999999999997,3.1679999999999997,0,0,0.04,320.10585149519983
1,102,96,1,22,0,2800,0,92,92,0,0,2852,2,0,89,15.827455990596,497.9424356592,0.0,3.312,3.312,0,0,0.05,391.2404851608
2,101,94,1,25,0,3080,0,97,93,0,0,2853,3,1,114,20.273370594696,547.73667922512,0.0,3.4919999999999995,3.348,0,0,0.06,444.59146041000025
3,98,98,1,31,0,3360,0,97,82,0,0,2854,4,2,145,25.78630470378,597.53092279104,0.0,3.4919999999999995,2.952,0,0,0.07,551.2934109083996
2,96,104,1,29,0,3640,0,120,107,0,0,2855,3,1,174,30.943565644536,647.32516635696,0.0,4.319999999999999,3.852,0,0,0.08,515.7260940756003
2,96,108,1,29,0,3920,0,134,132,0,0,2856,3,1,203,36.100826585292,697.11940992288,0.0,4.824,4.752,0,0,0.09,515.7260940755999
2,96,118,1,35,0,4200,0,130,131,0,0,2857,3,1,238,42.325107031032,746.9136534888,0.0,4.68,4.715999999999999,0,0,0.1,622.4280445739994
1,96,128,2,42,0,4480,0,120,117,0,0,2858,3,-1,280,49.79424356592,796.70789705472,0.0,4.319999999999999,4.212,0,0,0.11,746.9136534888005
1,93,142,2,41,0,4760,0,139,139,0,0,2859,3,-1,321,57.085543516644,846.50214062064,0.0,5.004,5.004,0,0,0.12,729.1299950724007
1,87,143,1,44,0,5040,0,146,146,0,0,2860,2,0,365,64.91035321986,896.29638418656,0.0,5.255999999999999,5.255999999999999,0,0,0.13,782.4809703215991
2,88,151,1,47,0,5320,0,151,155,0,0,2861,3,1,412,73.268672675568,946.09062775248,0.0,5.436,5.579999999999999,0,0,0.14,835.8319455707991
2,82,155,1,53,0,5600,0,148,148,0,0,2862,3,1,465,82.69401163626,995.8848713184,0.0,5.327999999999999,5.327999999999999,0,0,0.15,942.533896069202
3,81,162,3,55,0,5880,0,153,153,0,0,2863,6,0,520,92.47502376528,1045.67911488432,0.0,5.508,5.508,0,0,0.16,978.101212901999
1,80,164,2,56,0,6160,0,167,167,0,0,2864,3,-1,576,102.433872478464,1095.47335845024,0.0,6.012,6.012,0,0,0.17,995.8848713183988
0,77,167,3,58,0,6440,0,177,177,0,0,2865,3,-3,634,112.748394359976,1145.26760201616,0.0,6.372,6.372,0,0,0.18,1031.4521881512028
2,76,171,2,63,0,6720,0,172,180,0,0,2866,4,0,697,123.952099162308,1195.06184558208,0.0,6.191999999999999,6.4799999999999995,0,0,0.19,1120.3704802331988
3,72,184,2,67,0,7000,0,173,183,112,3,2867,5,1,764,135.867150301296,1244.856089148,0.0,6.228,6.587999999999999,0,0,0.2,1191.505113898798
2,65,189,2,69,0,7280,0,176,190,124,3,2868,4,0,833,148.137874608612,1294.65033271392,0.0,6.335999999999999,6.84,0,0,0.21,1227.0724307316038
3,61,198,2,69,0,7000,0,173,174,137,4,2869,5,1,902,160.408598915928,1244.856089148,0.0,6.228,6.263999999999999,0,0,0.22,1227.0724307315977
4,58,203,2,72,0,6720,0,138,157,145,4,2870,6,2,974,173.212832975736,1195.06184558208,0.0,4.968,5.651999999999999,0,0,0.23,1280.4234059807998
6,57,208,2,70,0,6440,0,125,149,151,4,2871,8,4,1044,185.661393867216,1145.26760201616,0.0,4.5,5.364,0,0,0.24,1244.8560891480008
5,54,208,2,68,0,6160,0,114,138,154,4,2872,7,3,1112,197.754281590368,1095.47335845024,0.0,4.104,4.968,0,0,0.25,1209.2887723152007
10,58,212,3,65,0,5880,0,109,128,154,4,2873,13,7,1177,209.313659561028,1045.67911488432,0.0,3.9239999999999995,4.608,0,0,0.26,1155.9377970659984
12,56,206,5,63,0,5600,0,105,117,150,4,2874,17,7,1240,220.51736436336,995.8848713184,0.0,3.78,4.212,0,0,0.27,1120.3704802331988
16,56,200,7,60,0,5320,0,99,108,144,4,2875,23,9,1300,231.1875594132,946.09062775248,0.0,3.5639999999999996,3.888,0,0,0.28,1067.0195049839995
17,56,183,9,59,0,5040,0,91,85,127,3,2876,26,8,1359,241.679917878876,896.29638418656,0.0,3.276,3.0599999999999996,0,0,0.29,1049.2358465676054
19,62,93,12,58,0,4760,0,81,62,31,0,2877,31,7,1417,251.994439760388,846.50214062064,0.0,2.916,2.2319999999999998,0,0,0.3,1031.4521881511969
20,61,5,14,55,0,4480,0,70,54,78,2,2878,34,6,1472,261.775451889408,796.70789705472,0.0,2.52,1.944,0,0,0.31,978.1012129019975
22,63,4,16,49,0,4200,0,72,63,74,2,2879,38,6,1521,270.489444513444,746.9136534888,0.0,2.5919999999999996,2.268,0,0,0.32,871.3992624036044
24,61,5,18,46,0,3920,0,63,57,-1,-1,2880,42,6,1567,278.669927384988,697.11940992288,0.0,2.268,2.052,0,0,0.33,818.0482871543966
29,62,4,22,42,0,3640,0,56,57,-1,-1,2881,51,7,1609,286.139063919876,647.32516635696,0.0,2.016,2.052,0,0,0.34,746.9136534887973
31,62,5,24,40,0,3360,0,44,48,-1,-1,2882,55,7,1649,293.252527286436,597.53092279104,0.0,1.5839999999999999,1.7279999999999998,0,0,0.35,711.3463366560073
36,61,7,27,38,0,3080,0,36,32,-1,-1,2883,63,9,1687,300.010317484668,547.73667922512,0.0,1.2959999999999998,1.152,0,0,0.36,675.7790198231982
38,61,6,30,32,0,2800,0,43,40,-1,-1,2884,68,8,1719,305.701088177916,497.9424356592,0.0,1.5479999999999998,1.44,0,0,0.37,569.0770693247994
41,60,6,32,31,0,2520,0,30,26,-1,-1,2885,73,9,1750,311.214022287,448.14819209328,0.0,1.0799999999999998,0.9359999999999999,0,0,0.38,551.2934109083967
44,60,9,35,28,0,2240,0,25,17,-1,-1,2886,79,9,1778,316.193446643592,398.35394852736,0.0,0.8999999999999999,0.612,0,0,0.39,497.9424356592001
49,60,5,39,25,0,2000,0,20,17,-1,-1,2887,88,10,1803,320.639361247692,355.673168328,0.0,0.72,0.612,0,0,0.4,444.59146041000355
53,61,6,42,21,0,2000,0,31,31,-1,-1,2888,95,11,1824,324.373929515136,355.673168328,0.0,1.1159999999999999,1.1159999999999999,0,0,0.41,373.45682674440076
55,59,7,43,21,0,2000,0,29,33,-1,-1,2889,98,12,1845,328.10849778258,355.673168328,0.0,1.0439999999999998,1.188,0,0,0.42,373.45682674439865
60,59,5,49,20,2,2000,0,32,36,0,0,2890,109,11,1865,331.66522946586,355.673168328,0.0,1.152,1.2959999999999998,0,2,0.43,355.6731683280017
64,61,6,51,20,2,2000,-303,38,30,0,0,2891,115,13,1885,335.22196114914,355.673168328,-41.164714285671,1.3679999999999999,1.0799999999999998,0,2,0.44,355.673168327996
65,60,6,52,18,2,2000,-606,57,27,0,0,2892,117,13,1903,338.423019664092,355.673168328,-82.329428571342,2.052,0.972,0,2,0.45,320.1058514952021
68,59,6,56,18,2,2000,-909,70,16,0,0,2893,124,12,1921,341.624078179044,355.673168328,-123.49414285701302,2.52,0.576,0,2,0.46,320.1058514951964
72,58,8,57,19,2,2000,-1212,73,7,0,0,2894,129,15,1940,345.00297327816,355.673168328,-164.658857142684,2.6279999999999997,0.252,0,2,0.47,337.88950991160664
79,55,7,56,18,2,2000,-1515,86,3,0,0,2895,135,23,1958,348.204031793112,355.673168328,-205.82357142835502,3.0959999999999996,0.10799999999999998,0,2,0.48,320.1058514951964
95,52,6,54,17,2,2000,-1818,93,6,0,0,2896,149,41,1975,351.2272537239,355.673168328,-246.98828571402603,3.348,0.21599999999999997,0,2,0.49,302.32219307879944
109,63,8,47,18,2,2000,-2121,93,2,0,0,2897,156,62,1993,354.428312238852,355.673168328,-288.15299999969704,3.348,0.072,0,2,0.5,320.1058514952021
124,64,8,38,17,2,2000,-2424,95,9,0,0,2898,162,86,2010,357.45153416964,355.673168328,-329.317714285368,3.42,0.32399999999999995,0,2,0.51,302.32219307879944
121,66,9,15,19,2,2000,-2727,85,7,0,0,2899,136,106,2029,360.830429268756,355.673168328,-370.482428571039,3.0599999999999996,0.252,0,2,0.52,337.8895099115991
113,82,8,6,18,2,2000,-3030,93,9,0,0,2900,119,107,2047,364.031487783708,355.673168328,-411.64714285671005,3.348,0.32399999999999995,0,2,0.53,320.1058514951964
110,94,2,3,18,2,2000,-3108,90,14,0,0,2901,113,107,2065,367.23254629866,355.673168328,-422.243999999556,3.2399999999999998,0.504,0,2,0.54,320.1058514952021
109,113,1,4,19,2,2000,-3108,84,14,0,0,2902,113,105,2084,370.611441397776,355.673168328,-422.243999999556,3.0239999999999996,0.504,0,2,0.55,337.8895099115991
111,135,2,4,20,2,2000,-3108,79,12,0,0,2903,115,107,2104,374.168173081056,355.673168328,-422.243999999556,2.844,0.43199999999999994,0,2,0.56,355.6731683280017
107,155,1,4,20,2,2000,-3108,79,12,0,0,2904,111,103,2124,377.724904764336,355.673168328,-422.243999999556,2.844,0.43199999999999994,0,2,0.57,355.673168328
103,184,2,5,20,2,2000,-3108,75,16,0,0,2905,108,98,2144,381.281636447616,355.673168328,-422.243999999556,2.6999999999999997,0.576,0,2,0.58,355.6731683280017
97,237,0,7,20,2,2000,-3108,74,17,0,0,2906,104,90,2164,384.838368130896,355.673168328,-422.243999999556,2.6639999999999997,0.612,0,2,0.59,355.6731683280017
82,275,2,6,19,2,2000,-3108,78,21,0,0,2907,88,76,2183,388.217263230012,355.673168328,-422.243999999556,2.808,0.7559999999999999,0,2,0.6,337.8895099115991
