Front Left,Left Angle,Right Angle,Front Right,edgeLeftFast,edgeLeftSlow,edgeRightFast,edgeRightSlow,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Cross Track Error,Steering Correction,loopTick,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y,time_s,Speed_mm_s
19,156,14,22,194,158,20,37,20,2,2000,-2502,69,28,0,0,20277,41,-3,20,3.55673168328,355.673168328,-339.91457142821406,2.484,1.008,0,2,0.0,0.0
13,134,12,26,182,157,18,35,20,2,2000,-2199,54,43,0,0,20278,39,-13,40,7.11346336656,355.673168328,-298.749857142543,1.944,1.5479999999999998,0,2,0.01,355.673168328
23,111,11,28,168,154,17,34,21,2,2000,-1896,45,44,0,0,20279,51,-5,61,10.848031634004,355.673168328,-257.58514285687204,1.6199999999999999,1.5839999999999999,0,2,0.02,373.4568267444001
31,92,8,26,153,150,15,32,19,2,2000,-1593,42,62,0,0,20280,57,5,80,14.22692673312,355.673168328,-216.42042857120103,1.5119999999999998,2.2319999999999998,0,2,0.03,337.88950991159993
31,78,8,25,138,146,14,31,20,2,2000,-1290,32,65,0,0,20281,56,6,100,17.7836584164,355.673168328,-175.25571428553002,1.152,2.34,0,2,0.04,355.6731683280002
32,70,7,23,124,141,13,30,20,2,2000,-987,31,65,0,0,20282,55,9,120,21.34039009968,355.673168328,-134.090999999859,1.1159999999999999,2.34,0,2,0.05,355.6731683279998
33,65,6,22,112,136,12,29,20,2,2000,-684,34,63,0,0,20283,55,11,140,24.89712178296,355.673168328,-92.92628571418801,1.224,2.268,0,2,0.06,355.6731683280001
36,64,7,24,102,132,11,28,20,2,2000,-381,35,62,0,0,20284,60,12,160,28.45385346624,355.673168328,-51.761571428517,1.26,2.2319999999999998,0,2,0.07,355.6731683279996
37,64,7,27,94,128,10,27,20,2,2000,-78,35,62,0,0,20285,64,10,180,32.01058514952,355.673168328,-10.596857142846002,1.26,2.2319999999999998,0,2,0.08,355.6731683280001
39,65,8,27,88,124,10,26,20,2,2000,0,39,58,0,0,20286,66,12,200,35.5673168328,355.673168328,0.0,1.404,2.0879999999999996,0,2,0.09,355.67316832800077
39,66,9,30,84,120,10,25,20,2,2000,0,46,51,0,0,20287,69,9,220,39.12404851608,355.673168328,0.0,1.656,1.8359999999999999,0,2,0.1,355.6731683279996
42,69,10,34,81,117,10,24,19,3,2000,0,55,50,0,0,20288,76,8,239,42.502943615196,355.673168328,0.0,1.9799999999999998,1.7999999999999998,0,3,0.11,337.8895099116002
42,76,12,34,80,114,10,23,20,3,2000,0,54,43,0,0,20289,76,8,259,46.059675298476,355.673168328,0.0,1.944,1.5479999999999998,0,3,0.12,355.6731683280001
43,76,12,36,79,112,10,22,20,3,2000,0,58,40,0,0,20290,79,7,279,49.616406981756,355.673168328,0.0,2.0879999999999996,1.44,0,3,0.13,355.6731683279996
43,77,13,39,79,110,11,21,20,3,2000,0,57,41,0,0,20291,82,4,299,53.173138665036,355.673168328,0.0,2.052,1.476,0,3,0.14,355.6731683279996
47,76,15,40,78,108,12,21,19,3,2000,0,59,46,0,0,20292,87,7,318,56.552033764152,355.673168328,0.0,2.1239999999999997,1.656,0,3,0.15,337.8895099116007
50,77,16,42,78,106,13,21,19,3,2000,0,58,49,0,0,20293,92,8,337,59.930928863268,355.673168328,0.0,2.0879999999999996,1.7639999999999998,0,3,0.16,337.88950991159976
52,76,15,45,78,104,13,21,20,3,2000,0,51,49,0,0,20294,97,7,357,63.487660546548,355.673168328,0.0,1.8359999999999999,1.7639999999999998,0,3,0.17,355.6731683279996
55,74,17,47,77,102,14,21,20,3,2000,0,50,50,0,0,20295,102,8,377,67.044392229828,355.673168328,0.0,1.7999999999999998,1.7999999999999998,0,3,0.18,355.6731683280013
