Start Buffer: size=422
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [2, 94, 108, 1, 14, 0, 1320, 0, 65, 58]
Robot Data: [3, 93, 108, 2, 20, 0, 1400, 0, 51, 51]
Robot Data: [2, 93, 108, 2, 13, 0, 1400, 0, 44, 44]
Robot Data: [1, 91, 104, 1, 13, 0, 1400, 0, 47, 43]
Robot Data: [0, 93, 106, 2, 14, 0, 1400, 0, 41, 42]
Robot Data: [2, 92, 105, 1, 14, 0, 1400, 0, 40, 44]
Robot Data: [1, 96, 111, 2, 14, 0, 1400, 0, 42, 41]
Robot Data: [2, 91, 108, 3, 14, 0, 1400, 0, 40, 44]
Robot Data: [1, 91, 109, 2, 15, 0, 1400, 0, 38, 37]
Robot Data: [3, 88, 109, 3, 16, 0, 1400, 0, 33, 33]
Robot Data: [2, 91, 117, 3, 16, 0, 1400, 0, 32, 32]
Robot Data: [1, 90, 114, 3, 15, 0, 1400, 0, 39, 31]
Robot Data: [1, 96, 125, 3, 15, 0, 1400, 0, 34, 35]
Robot Data: [3, 97, 125, 3, 15, 0, 1400, 0, 32, 36]
Robot Data: [2, 98, 129, 3, 15, 0, 1400, 0, 32, 35]
Robot Data: [2, 96, 127, 3, 15, 0, 1400, 0, 31, 34]
Robot Data: [2, 98, 130, 3, 14, 0, 1400, 0, 36, 36]
Robot Data: [1, 97, 131, 3, 14, 0, 1400, 0, 38, 34]
Robot Data: [1, 97, 128, 3, 15, 0, 1400, 0, 36, 29]
Robot Data: [1, 97, 129, 3, 14, 0, 1400, 0, 37, 34]
Robot Data: [4, 97, 134, 2, 14, 0, 1400, 0, 39, 32]
Robot Data: [3, 97, 135, 3, 14, 0, 1400, 0, 33, 38]
Robot Data: [1, 95, 135, 3, 14, 0, 1400, 0, 34, 37]
Robot Data: [2, 94, 138, 3, 14, 0, 1400, 0, 34, 37]
Robot Data: [2, 97, 139, 2, 14, 0, 1400, 0, 32, 39]
Robot Data: [3, 97, 138, 3, 14, 0, 1400, 0, 34, 37]
Robot Data: [4, 94, 133, 4, 15, 0, 1400, 0, 30, 33]
Robot Data: [3, 97, 138, 3, 13, 0, 1400, 0, 39, 39]
Robot Data: [4, 96, 136, 4, 14, 0, 1400, 0, 37, 34]
Robot Data: [1, 97, 133, 3, 15, 0, 1400, 0, 33, 30]
Robot Data: [5, 97, 136, 3, 14, 0, 1400, 0, 37, 33]
Robot Data: [4, 98, 136, 3, 14, 0, 1400, 0, 37, 33]
Robot Data: [3, 96, 132, 3, 14, 0, 1400, 0, 37, 33]
Robot Data: [3, 97, 136, 3, 14, 0, 1400, 0, 37, 33]
Robot Data: [3, 96, 134, 4, 14, 0, 1400, 0, 35, 35]
Robot Data: [1, 97, 138, 4, 14, 0, 1400, 0, 33, 37]
Robot Data: [4, 97, 138, 3, 14, 0, 1400, 0, 33, 37]
Robot Data: [4, 97, 133, 3, 14, 0, 1400, 0, 31, 39]
Robot Data: [3, 97, 137, 4, 14, 0, 1400, 0, 32, 38]
Robot Data: [2, 98, 138, 3, 14, 0, 1400, 0, 34, 36]
Robot Data: [4, 98, 137, 4, 14, 0, 1400, 0, 35, 35]
Robot Data: [4, 98, 132, 4, 14, 0, 1400, 0, 35, 35]
Robot Data: [2, 102, 133, 4, 14, 0, 1400, 0, 39, 31]
Robot Data: [4, 101, 131, 4, 14, 0, 1400, 0, 36, 34]
Robot Data: [4, 103, 133, 4, 14, 0, 1400, 0, 35, 35]
Robot Data: [4, 100, 134, 4, 14, 0, 1400, 0, 35, 35]
Robot Data: [3, 98, 132, 5, 14, 0, 1400, 0, 35, 35]
Robot Data: [4, 100, 133, 5, 14, 0, 1400, 0, 35, 35]
Robot Data: [3, 97, 132, 5, 15, 0, 1400, 0, 31, 31]
Robot Data: [4, 101, 135, 6, 14, 1, 1400, 0, 31, 38]
Robot Data: [5, 98, 131, 6, 13, 1, 1400, 0, 37, 40]
Robot Data: [4, 98, 130, 5, 14, 1, 1400, 0, 35, 35]
Robot Data: [5, 96, 129, 6, 14, 1, 1400, 0, 33, 37]
Robot Data: [5, 98, 127, 6, 14, 1, 1400, 0, 37, 33]
Robot Data: [4, 101, 127, 6, 14, 1, 1400, 0, 39, 31]
Robot Data: [4, 100, 128, 6, 14, 1, 1400, 0, 36, 34]
Robot Data: [5, 99, 126, 5, 14, 1, 1400, 0, 39, 31]
Robot Data: [5, 99, 131, 6, 14, 1, 1400, 0, 36, 34]
Robot Data: [4, 98, 129, 7, 14, 1, 1400, 0, 35, 35]
Robot Data: [6, 96, 131, 6, 14, 1, 1400, 0, 33, 37]
Robot Data: [6, 97, 131, 6, 14, 1, 1400, 0, 31, 39]
Robot Data: [7, 99, 134, 7, 14, 1, 1400, 0, 28, 42]
Robot Data: [5, 97, 130, 7, 14, 1, 1400, 0, 32, 38]
Robot Data: [8, 98, 129, 6, 14, 1, 1400, 0, 34, 36]
Robot Data: [6, 97, 125, 7, 14, 1, 1400, 0, 35, 35]
Robot Data: [7, 103, 124, 8, 14, 1, 1400, 0, 35, 35]
Robot Data: [7, 101, 119, 8, 14, 1, 1400, 0, 37, 33]
Robot Data: [6, 101, 119, 8, 14, 1, 1400, 0, 39, 31]
Robot Data: [7, 105, 120, 8, 14, 1, 1400, 0, 38, 32]
Robot Data: [8, 101, 118, 8, 14, 1, 1400, 0, 40, 30]
Robot Data: [8, 101, 119, 8, 14, 1, 1400, 0, 36, 34]
Robot Data: [9, 99, 118, 8, 14, 1, 1400, 0, 35, 35]
Robot Data: [8, 97, 120, 8, 14, 1, 1400, 0, 35, 35]
Robot Data: [8, 97, 121, 8, 14, 1, 1400, 0, 31, 39]
Robot Data: [10, 98, 121, 8, 14, 1, 1400, 0, 30, 40]
Robot Data: [10, 97, 120, 9, 14, 1, 1400, 0, 32, 38]
Robot Data: [10, 97, 119, 10, 14, 1, 1400, 0, 36, 34]
Robot Data: [10, 97, 116, 10, 14, 1, 1400, 0, 35, 35]
Robot Data: [11, 98, 111, 12, 14, 1, 1400, 0, 33, 37]
Robot Data: [11, 98, 108, 10, 15, 1, 1400, 0, 33, 29]
Robot Data: [10, 97, 98, 12, 14, 1, 1400, 0, 36, 33]
Robot Data: [11, 101, 87, 12, 13, 1, 1400, 0, 40, 37]
Robot Data: [11, 99, 66, 11, 14, 1, 1400, 0, 41, 29]
Robot Data: [13, 97, 49, 12, 14, 1, 1400, 0, 38, 32]
Robot Data: [14, 93, 29, 13, 14, 1, 1400, 0, 34, 36]
Robot Data: [14, 93, 19, 13, 14, 1, 1400, 0, 33, 37]
Robot Data: [16, 91, 13, 13, 14, 1, 1400, 0, 31, 39]
Robot Data: [16, 95, 9, 14, 14, 1, 1400, 0, 34, 36]
Robot Data: [16, 95, 7, 15, 14, 1, 1400, 0, 33, 37]
Robot Data: [16, 94, 1, 14, 14, 1, 1400, 0, 35, 35]
Robot Data: [17, 93, 4, 14, 14, 1, 1400, 0, 35, 35]
Robot Data: [17, 97, 4, 15, 14, 1, 1400, 0, 35, 35]
Robot Data: [19, 98, 4, 16, 14, 1, 1400, 0, 37, 33]
Robot Data: [20, 97, 5, 16, 14, 1, 1400, 0, 37, 33]
Robot Data: [19, 101, 4, 17, 15, 1, 1400, 0, 35, 27]
Robot Data: [22, 97, 3, 17, 14, 1, 1400, 0, 34, 35]
Robot Data: [20, 99, 3, 18, 14, 1, 1400, 0, 34, 34]
Robot Data: [20, 99, 4, 17, 14, 1, 1400, 0, 34, 34]
Robot Data: [25, 98, 4, 20, 14, 1, 1400, 0, 38, 31]
Robot Data: [24, 97, 5, 19, 14, 1, 1400, 0, 40, 29]
Robot Data: [25, 96, 4, 20, 14, 1, 1400, 0, 36, 33]
Robot Data: [29, 97, 4, 22, 13, 1, 1400, 0, 40, 37]
Robot Data: [26, 95, 3, 20, 15, 1, 1400, 0, 31, 31]
Robot Data: [28, 93, 3, 22, 13, 1, 1400, 0, 38, 38]
Robot Data: [29, 93, 2, 22, 14, 1, 1400, 0, 37, 33]
Robot Data: [31, 91, 4, 23, 14, 1, 1400, 0, 33, 37]
Robot Data: [32, 90, 4, 24, 14, 1, 1400, 0, 35, 35]
Robot Data: [32, 90, 3, 24, 14, 1, 1400, 0, 37, 33]
Robot Data: [34, 91, 4, 25, 15, 1, 1400, 0, 31, 31]
Robot Data: [33, 90, 5, 25, 14, 1, 1400, 0, 36, 32]
Robot Data: [35, 88, 5, 26, 14, 1, 1400, 0, 38, 31]
Robot Data: [36, 88, 5, 28, 14, 1, 1400, 0, 40, 29]
Robot Data: [38, 85, 5, 28, 14, 1, 1400, 0, 37, 31]
Robot Data: [40, 86, 5, 28, 14, 1, 1400, 0, 36, 33]
Robot Data: [41, 82, 3, 28, 14, 1, 1400, 0, 34, 35]
Robot Data: [41, 78, 5, 28, 14, 1, 1400, 0, 32, 36]
Robot Data: [43, 81, 5, 32, 14, 1, 1400, 0, 35, 34]
Robot Data: [45, 78, 7, 32, 14, 1, 1400, 0, 32, 36]
Robot Data: [46, 79, 6, 32, 13, 1, 1400, 0, 37, 40]
Robot Data: [49, 78, 5, 34, 15, 1, 1400, 0, 31, 31]
Robot Data: [49, 75, 5, 34, 13, 1, 1400, 0, 38, 38]
Robot Data: [54, 76, 5, 37, 14, 2, 1400, 0, 35, 35]
Robot Data: [51, 76, 5, 38, 14, 2, 1400, 0, 37, 33]
Robot Data: [55, 75, 5, 39, 13, 2, 1400, 0, 39, 39]
Robot Data: [57, 76, 5, 41, 14, 2, 1400, 0, 34, 37]
Robot Data: [59, 75, 5, 42, 14, 2, 1400, 0, 32, 39]
Robot Data: [60, 73, 5, 44, 14, 2, 1400, 0, 34, 37]
Robot Data: [66, 76, 6, 47, 14, 2, 1400, 0, 36, 35]
Robot Data: [67, 76, 5, 50, 14, 2, 1400, -133, 37, 34]
Robot Data: [70, 77, 6, 52, 15, 2, 1400, -266, 37, 26]
Robot Data: [71, 74, 5, 53, 14, 2, 1400, -399, 44, 26]
Robot Data: [72, 76, 6, 55, 14, 2, 1400, -532, 49, 21]
Robot Data: [78, 72, 5, 57, 13, 2, 1400, -665, 58, 20]
Robot Data: [85, 70, 5, 58, 14, 2, 1400, -798, 54, 17]
Robot Data: [89, 65, 6, 57, 14, 2, 1400, -931, 58, 13]
Robot Data: [101, 61, 6, 58, 15, 2, 1400, -1064, 53, 10]
Robot Data: [115, 62, 6, 57, 14, 2, 1400, -1197, 59, 11]
Robot Data: [126, 72, 8, 55, 14, 2, 1400, -1330, 58, 11]
Robot Data: [137, 82, 8, 55, 14, 2, 1400, -1463, 55, 15]
Robot Data: [142, 76, 8, 48, 14, 2, 1400, -1596, 55, 15]
Robot Data: [139, 79, 8, 41, 14, 2, 1400, -1729, 57, 13]
Robot Data: [133, 88, 9, 29, 14, 2, 1400, -1850, 61, 9]
Robot Data: [131, 100, 6, 13, 15, 2, 1400, -1850, 56, 6]
Robot Data: [127, 115, 2, 5, 13, 2, 1400, -1850, 61, 15]
Robot Data: [130, 129, 1, 4, 14, 2, 1400, -1850, 58, 12]
Robot Data: [131, 147, 2, 4, 14, 2, 1400, -1850, 56, 13]
Robot Data: [133, 161, 0, 3, 14, 2, 1400, -1850, 53, 17]
Robot Data: [136, 179, 2, 4, 14, 2, 1400, -1850, 51, 18]
Robot Data: [135, 196, 0, 3, 14, 2, 1400, -1850, 54, 16]
Robot Data: [133, 217, 3, 4, 14, 2, 1400, -1850, 53, 17]
Robot Data: [134, 241, 1, 3, 15, 2, 1400, -1850, 50, 13]
Robot Data: [132, 275, 4, 5, 13, 2, 1400, -1850, 57, 20]
Robot Data: [128, 311, 1, 5, 14, 2, 1400, -1850, 51, 18]
Robot Data: [127, 351, 2, 6, 14, 2, 1400, -1850, 58, 12]
Robot Data: [124, 374, 2, 7, 15, 2, 1400, -1850, 53, 9]
Robot Data: [116, 357, 0, 6, 13, 2, 1400, -1850, 62, 15]
Robot Data: [111, 325, 1, 7, 14, 2, 1400, -1850, 56, 13]
Robot Data: [101, 301, 2, 4, 13, 2, 1400, -1850, 59, 19]
Robot Data: [71, 275, 2, 3, 15, 2, 1400, -1850, 52, 12]
Robot Data: [21, 251, 4, 2, 14, 2, 1400, -1850, 55, 15]
Robot Data: [11, 214, 6, 2, 14, 2, 1400, -1850, 53, 17]
Robot Data: [8, 191, 8, 2, 14, 2, 1400, -1850, 55, 15]
Robot Data: [10, 104, 11, 1, 14, 2, 1400, -1850, 57, 13]
Robot Data: [8, 17, 17, 1, 14, 2, 1400, -1850, 55, 15]
Robot Data: [13, 7, 23, 2, 14, 2, 1400, -1850, 53, 17]
Robot Data: [13, 7, 35, 1, 14, 2, 1400, -1850, 55, 15]
Robot Data: [14, 6, 45, 1, 14, 2, 1400, -1717, 55, 15]
Robot Data: [17, 6, 62, 1, 14, 2, 1400, -1584, 47, 23]
Robot Data: [16, 6, 80, 2, 14, 2, 1400, -1451, 44, 25]
Robot Data: [9, 5, 95, 2, 14, 2, 1400, -1318, 39, 31]
Robot Data: [5, 5, 114, 3, 15, 2, 1400, -1185, 30, 32]
Robot Data: [5, 5, 129, 1, 13, 2, 1400, -1052, 40, 36]
Robot Data: [3, 5, 144, 1, 13, 2, 1400, -919, 41, 37]
Robot Data: [2, 6, 158, 1, 15, 2, 1400, -786, 29, 34]
Robot Data: [2, 6, 167, 1, 15, 2, 1400, -653, 29, 33]
Robot Data: [4, 8, 177, 2, 14, 2, 1400, -520, 35, 34]
Robot Data: [5, 9, 185, 2, 14, 2, 1400, -387, 32, 36]
Robot Data: [2, 10, 190, 1, 14, 2, 1400, -254, 31, 38]
Robot Data: [2, 10, 193, 0, 14, 2, 1400, -121, 29, 40]
Robot Data: [2, 11, 196, 1, 13, 2, 1400, 0, 31, 45]
Robot Data: [0, 20, 207, 3, 14, 2, 1400, 0, 28, 42]
Robot Data: [2, 11, 195, 2, 14, 18, 1400, 0, 21, 49]
Robot Data: [2, 12, 193, 2, 14, 18, 1400, 0, 20, 50]
Robot Data: [1, 13, 190, 2, 14, 18, 1400, 0, 18, 52]
Robot Data: [1, 11, 176, 1, 14, 18, 1400, 0, 24, 46]
Robot Data: [4, 12, 166, 1, 14, 18, 1400, 0, 31, 39]
Robot Data: [3, 10, 152, 2, 13, 18, 1400, 0, 42, 36]
Robot Data: [5, 10, 143, 2, 14, 18, 1400, 0, 39, 32]
Robot Data: [4, 10, 135, 3, 14, 18, 1400, 0, 43, 28]
Robot Data: [5, 11, 128, 2, 14, 18, 1400, 0, 44, 27]
Robot Data: [6, 11, 124, 2, 14, 18, 1400, 0, 42, 29]
Robot Data: [4, 11, 121, 2, 14, 18, 1400, 0, 42, 29]
Robot Data: [4, 13, 127, 2, 14, 18, 1400, 0, 36, 35]
Robot Data: [4, 14, 126, 2, 14, 18, 1400, 0, 33, 38]
