Start Buffer: size=834
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [1, 97, 100, 2, 14, 0, 1400, 0, 66, 62]
Robot Data: [1, 97, 104, 2, 20, 0, 1960, 0, 78, 75]
Robot Data: [1, 97, 102, 1, 16, 0, 2240, 0, 78, 75]
Robot Data: [1, 96, 103, 2, 18, 0, 2520, 0, 87, 88]
Robot Data: [1, 97, 102, 1, 22, 0, 2800, 0, 91, 91]
Robot Data: [1, 95, 102, 1, 27, 0, 3080, 0, 88, 84]
Robot Data: [1, 93, 111, 1, 30, 0, 3360, 0, 103, 80]
Robot Data: [0, 88, 113, 2, 27, 0, 3640, 0, 126, 114]
Robot Data: [2, 88, 118, 2, 31, 0, 3920, 0, 128, 122]
Robot Data: [2, 90, 129, 0, 36, 0, 4200, 0, 121, 130]
Robot Data: [1, 82, 139, 2, 42, 0, 4480, 0, 115, 118]
Robot Data: [1, 75, 156, 2, 43, 0, 4760, 0, 132, 127]
Robot Data: [1, 74, 169, 1, 43, 0, 5040, 0, 151, 143]
Robot Data: [1, 72, 175, 1, 47, 0, 5320, 0, 150, 151]
Robot Data: [1, 70, 184, 1, 54, 0, 5600, 0, 142, 142]
Robot Data: [2, 66, 191, 2, 54, 0, 5880, 0, 153, 157]
Robot Data: [2, 66, 200, 1, 56, 0, 6160, 0, 165, 164]
Robot Data: [3, 61, 208, 2, 60, 0, 6440, 0, 167, 167]
Robot Data: [2, 55, 217, 2, 61, 0, 6720, 0, 177, 184]
Robot Data: [3, 50, 226, 1, 65, 0, 7000, 0, 173, 195]
Robot Data: [2, 47, 233, 3, 68, 0, 7280, 0, 172, 200]
Robot Data: [3, 46, 244, 2, 71, 0, 7000, 0, 154, 177]
Robot Data: [2, 45, 253, 4, 72, 0, 6720, 0, 132, 159]
Robot Data: [3, 45, 256, 3, 71, 0, 6440, 0, 120, 143]
Robot Data: [5, 44, 257, 3, 67, 0, 6160, 0, 118, 137]
Robot Data: [6, 45, 255, 3, 66, 0, 5880, 0, 105, 121]
Robot Data: [9, 43, 251, 3, 64, 0, 5600, 0, 96, 113]
Robot Data: [14, 48, 243, 6, 61, 0, 5320, 0, 92, 101]
Robot Data: [16, 51, 232, 9, 58, 0, 5040, 0, 87, 90]
Robot Data: [15, 52, 195, 10, 55, 0, 4760, 0, 83, 78]
Robot Data: [20, 55, 16, 14, 54, 0, 4480, 0, 70, 59]
Robot Data: [22, 61, 4, 18, 50, 0, 4200, 0, 68, 58]
Robot Data: [23, 57, 5, 21, 47, 0, 3920, 0, 66, 44]
Robot Data: [25, 57, 5, 23, 42, 0, 3640, 0, 61, 49]
Robot Data: [30, 61, 3, 27, 41, 0, 3360, 0, 39, 41]
Robot Data: [30, 58, 5, 30, 38, 0, 3080, 0, 26, 38]
Robot Data: [36, 56, 4, 34, 32, 0, 2800, 0, 38, 40]
Robot Data: [38, 58, 5, 37, 31, 0, 2520, 0, 24, 27]
Robot Data: [43, 58, 7, 41, 29, 0, 2240, 0, 19, 11]
Robot Data: [45, 58, 5, 45, 24, 0, 2000, 0, 21, 18]
Robot Data: [51, 61, 5, 50, 21, 0, 2000, 0, 31, 27]
Robot Data: [52, 60, 7, 52, 20, 0, 2000, 0, 32, 33]
Robot Data: [60, 59, 5, 57, 21, 2, 2000, 0, 26, 30]
Robot Data: [63, 61, 5, 62, 19, 2, 2000, -303, 38, 34]
Robot Data: [64, 60, 5, 63, 18, 2, 2000, -606, 55, 25]
Robot Data: [67, 60, 7, 66, 18, 2, 2000, -909, 66, 16]
Robot Data: [72, 60, 8, 68, 19, 2, 2000, -1212, 72, 5]
Robot Data: [78, 57, 7, 67, 17, 2, 2000, -1515, 86, 7]
Robot Data: [91, 55, 6, 64, 18, 2, 2000, -1818, 87, 2]
Robot Data: [109, 63, 9, 59, 18, 2, 2000, -2121, 89, 2]
Robot Data: [133, 64, 10, 47, 17, 2, 2000, -2424, 92, 9]
Robot Data: [143, 69, 10, 30, 18, 2, 2000, -2727, 90, 7]
Robot Data: [132, 86, 8, 7, 18, 2, 2000, -3030, 89, 10]
Robot Data: [125, 105, 4, 4, 19, 2, 2000, -3108, 87, 6]
Robot Data: [124, 125, 3, 4, 19, 2, 2000, -3108, 84, 11]
Robot Data: [128, 148, 2, 4, 19, 2, 2000, -3108, 79, 17]
Robot Data: [124, 177, 2, 4, 20, 2, 2000, -3108, 71, 18]
Robot Data: [124, 204, 3, 5, 21, 2, 2000, -3108, 69, 12]
Robot Data: [119, 250, 0, 5, 20, 2, 2000, -3108, 72, 15]
Robot Data: [111, 303, 3, 8, 19, 2, 2000, -3108, 78, 17]
Robot Data: [96, 314, 1, 8, 20, 2, 2000, -3108, 77, 12]
Robot Data: [46, 270, 2, 5, 20, 2, 2000, -3108, 78, 11]
Robot Data: [10, 225, 3, 3, 20, 2, 2000, -3108, 76, 13]
Robot Data: [7, 166, 5, 2, 19, 2, 2000, -3108, 82, 15]
Robot Data: [9, 28, 11, 2, 20, 2, 2000, -3108, 79, 11]
Robot Data: [13, 8, 22, 1, 21, 2, 2000, -2805, 70, 12]
Robot Data: [13, 6, 40, 2, 20, 2, 2000, -2502, 65, 24]
Robot Data: [17, 5, 65, 0, 19, 2, 2000, -2199, 58, 39]
Robot Data: [10, 5, 98, 2, 21, 2, 2000, -1896, 41, 41]
Robot Data: [4, 6, 136, 2, 20, 2, 2000, -1593, 40, 48]
Robot Data: [3, 6, 162, 2, 19, 2, 2000, -1290, 35, 62]
Robot Data: [1, 6, 183, 2, 20, 2, 2000, -987, 29, 61]
Robot Data: [2, 10, 200, 2, 20, 2, 2000, -684, 28, 62]
