Start Buffer: size=822
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt, cte, steerAdj, loopTick
Robot Data: [1, 105, 99, 3, 14, 0, 1400, 0, 66, 62, 0, 0, 2847]
Robot Data: [3, 104, 94, 2, 19, 0, 1960, 0, 82, 78, 0, 0, 2849]
Robot Data: [1, 102, 93, 1, 16, 0, 2240, 0, 79, 75, 0, 0, 2850]
Robot Data: [2, 100, 95, 1, 18, 0, 2520, 0, 88, 88, 0, 0, 2851]
Robot Data: [1, 102, 96, 1, 22, 0, 2800, 0, 92, 92, 0, 0, 2852]
Robot Data: [2, 101, 94, 1, 25, 0, 3080, 0, 97, 93, 0, 0, 2853]
Robot Data: [3, 98, 98, 1, 31, 0, 3360, 0, 97, 82, 0, 0, 2854]
Robot Data: [2, 96, 104, 1, 29, 0, 3640, 0, 120, 107, 0, 0, 2855]
Robot Data: [2, 96, 108, 1, 29, 0, 3920, 0, 134, 132, 0, 0, 2856]
Robot Data: [2, 96, 118, 1, 35, 0, 4200, 0, 130, 131, 0, 0, 2857]
Robot Data: [1, 96, 128, 2, 42, 0, 4480, 0, 120, 117, 0, 0, 2858]
Robot Data: [1, 93, 142, 2, 41, 0, 4760, 0, 139, 139, 0, 0, 2859]
Robot Data: [1, 87, 143, 1, 44, 0, 5040, 0, 146, 146, 0, 0, 2860]
Robot Data: [2, 88, 151, 1, 47, 0, 5320, 0, 151, 155, 0, 0, 2861]
Robot Data: [2, 82, 155, 1, 53, 0, 5600, 0, 148, 148, 0, 0, 2862]
Robot Data: [3, 81, 162, 3, 55, 0, 5880, 0, 153, 153, 0, 0, 2863]
Robot Data: [1, 80, 164, 2, 56, 0, 6160, 0, 167, 167, 0, 0, 2864]
Robot Data: [0, 77, 167, 3, 58, 0, 6440, 0, 177, 177, 0, 0, 2865]
Robot Data: [2, 76, 171, 2, 63, 0, 6720, 0, 172, 180, 0, 0, 2866]
Robot Data: [3, 72, 184, 2, 67, 0, 7000, 0, 173, 183, 112, 3, 2867]
Robot Data: [2, 65, 189, 2, 69, 0, 7280, 0, 176, 190, 124, 3, 2868]
Robot Data: [3, 61, 198, 2, 69, 0, 7000, 0, 173, 174, 137, 4, 2869]
Robot Data: [4, 58, 203, 2, 72, 0, 6720, 0, 138, 157, 145, 4, 2870]
Robot Data: [6, 57, 208, 2, 70, 0, 6440, 0, 125, 149, 151, 4, 2871]
Robot Data: [5, 54, 208, 2, 68, 0, 6160, 0, 114, 138, 154, 4, 2872]
Robot Data: [10, 58, 212, 3, 65, 0, 5880, 0, 109, 128, 154, 4, 2873]
Robot Data: [12, 56, 206, 5, 63, 0, 5600, 0, 105, 117, 150, 4, 2874]
Robot Data: [16, 56, 200, 7, 60, 0, 5320, 0, 99, 108, 144, 4, 2875]
Robot Data: [17, 56, 183, 9, 59, 0, 5040, 0, 91, 85, 127, 3, 2876]
Robot Data: [19, 62, 93, 12, 58, 0, 4760, 0, 81, 62, 31, 0, 2877]
Robot Data: [20, 61, 5, 14, 55, 0, 4480, 0, 70, 54, 78, 2, 2878]
Robot Data: [22, 63, 4, 16, 49, 0, 4200, 0, 72, 63, 74, 2, 2879]
Robot Data: [24, 61, 5, 18, 46, 0, 3920, 0, 63, 57, -1, -1, 2880]
Robot Data: [29, 62, 4, 22, 42, 0, 3640, 0, 56, 57, -1, -1, 2881]
Robot Data: [31, 62, 5, 24, 40, 0, 3360, 0, 44, 48, -1, -1, 2882]
Robot Data: [36, 61, 7, 27, 38, 0, 3080, 0, 36, 32, -1, -1, 2883]
Robot Data: [38, 61, 6, 30, 32, 0, 2800, 0, 43, 40, -1, -1, 2884]
Robot Data: [41, 60, 6, 32, 31, 0, 2520, 0, 30, 26, -1, -1, 2885]
Robot Data: [44, 60, 9, 35, 28, 0, 2240, 0, 25, 17, -1, -1, 2886]
Robot Data: [49, 60, 5, 39, 25, 0, 2000, 0, 20, 17, -1, -1, 2887]
Robot Data: [53, 61, 6, 42, 21, 0, 2000, 0, 31, 31, -1, -1, 2888]
Robot Data: [55, 59, 7, 43, 21, 0, 2000, 0, 29, 33, -1, -1, 2889]
Robot Data: [60, 59, 5, 49, 20, 2, 2000, 0, 32, 36, 0, 0, 2890]
Robot Data: [64, 61, 6, 51, 20, 2, 2000, -303, 38, 30, 0, 0, 2891]
Robot Data: [65, 60, 6, 52, 18, 2, 2000, -606, 57, 27, 0, 0, 2892]
Robot Data: [68, 59, 6, 56, 18, 2, 2000, -909, 70, 16, 0, 0, 2893]
Robot Data: [72, 58, 8, 57, 19, 2, 2000, -1212, 73, 7, 0, 0, 2894]
Robot Data: [79, 55, 7, 56, 18, 2, 2000, -1515, 86, 3, 0, 0, 2895]
Robot Data: [95, 52, 6, 54, 17, 2, 2000, -1818, 93, 6, 0, 0, 2896]
Robot Data: [109, 63, 8, 47, 18, 2, 2000, -2121, 93, 2, 0, 0, 2897]
Robot Data: [124, 64, 8, 38, 17, 2, 2000, -2424, 95, 9, 0, 0, 2898]
Robot Data: [121, 66, 9, 15, 19, 2, 2000, -2727, 85, 7, 0, 0, 2899]
Robot Data: [113, 82, 8, 6, 18, 2, 2000, -3030, 93, 9, 0, 0, 2900]
Robot Data: [110, 94, 2, 3, 18, 2, 2000, -3108, 90, 14, 0, 0, 2901]
Robot Data: [109, 113, 1, 4, 19, 2, 2000, -3108, 84, 14, 0, 0, 2902]
Robot Data: [111, 135, 2, 4, 20, 2, 2000, -3108, 79, 12, 0, 0, 2903]
Robot Data: [107, 155, 1, 4, 20, 2, 2000, -3108, 79, 12, 0, 0, 2904]
Robot Data: [103, 184, 2, 5, 20, 2, 2000, -3108, 75, 16, 0, 0, 2905]
Robot Data: [97, 237, 0, 7, 20, 2, 2000, -3108, 74, 17, 0, 0, 2906]
Robot Data: [82, 275, 2, 6, 19, 2, 2000, -3108, 78, 21, 0, 0, 2907]
Robot Data: [53, 246, 2, 4, 20, 2, 2000, -3108, 75, 18, 0, 0, 2908]
Robot Data: [11, 202, 3, 3, 20, 2, 2000, -3108, 79, 14, 0, 0, 2909]
Robot Data: [6, 158, 4, 3, 20, 2, 2000, -3108, 82, 10, 0, 0, 2910]
Robot Data: [9, 107, 11, 2, 20, 2, 2000, -3108, 83, 9, 0, 0, 2911]
Robot Data: [10, 12, 21, 1, 19, 2, 2000, -3108, 87, 13, 0, 0, 2912]
Robot Data: [13, 5, 40, 1, 20, 2, 2000, -2805, 74, 20, 0, 0, 2913]
Robot Data: [13, 6, 72, 1, 20, 2, 2000, -2502, 67, 26, 0, 0, 2914]
Robot Data: [10, 6, 111, 2, 21, 2, 2000, -2199, 53, 33, 0, 0, 2915]
Robot Data: [6, 4, 158, 2, 20, 2, 2000, -1896, 46, 46, 0, 0, 2916]
Robot Data: [3, 6, 203, 1, 20, 2, 2000, -1593, 38, 54, 0, 0, 2917]
Robot Data: [3, 7, 236, 2, 20, 2, 2000, -1290, 32, 61, 0, 0, 2918]
Robot Data: [1, 8, 264, 2, 20, 2, 2000, -987, 31, 61, 0, 0, 2919]
Robot Data: [1, 7, 279, 2, 20, 2, 2000, -684, 35, 57, 0, 0, 2920]
Robot Data: [2, 9, 286, 4, 20, 2, 2000, -381, 34, 58, 0, 0, 2921]
Robot Data: [1, 10, 288, 4, 20, 2, 2000, -78, 37, 56, 0, 0, 2922]
Robot Data: [2, 10, 281, 3, 19, 2, 2000, 0, 46, 54, 0, 0, 2923]
Robot Data: [2, 10, 275, 3, 20, 2, 2000, 0, 48, 46, 0, 0, 2924]
Robot Data: [1, 11, 266, 2, 21, 18, 2280, 0, 37, 72, 255, 10, 2925]
Robot Data: [2, 10, 258, 2, 20, 18, 2560, 0, 51, 97, 255, 9, 2926]
Robot Data: [2, 11, 242, 2, 23, 18, 2840, 0, 59, 102, 255, 8, 2927]
Robot Data: [4, 10, 230, 2, 24, 18, 3120, 0, 79, 110, 255, 7, 2928]
Robot Data: [3, 9, 204, 3, 27, 18, 3400, 0, 97, 107, 208, 6, 2929]
Robot Data: [5, 11, 183, 4, 30, 18, 3680, 0, 113, 99, 166, 4, 2930]
Robot Data: [5, 10, 162, 2, 32, 18, 3960, 0, 131, 102, 124, 3, 2931]
Robot Data: [3, 9, 144, 1, 36, 18, 4240, 0, 140, 101, 88, 2, 2932]
Robot Data: [4, 10, 131, 2, 39, 18, 4520, 0, 142, 113, 62, 1, 2933]
Robot Data: [2, 14, 126, 1, 43, 18, 4800, 0, 140, 121, 52, 1, 2934]
Robot Data: [2, 18, 127, 0, 45, 18, 5080, 0, 139, 135, 54, 1, 2935]
Robot Data: [2, 24, 127, 0, 48, 18, 5360, 0, 139, 148, 54, 1, 2936]
Robot Data: [1, 41, 134, 1, 54, 18, 5640, 0, 135, 141, 93, 2, 2937]
Robot Data: [2, 60, 140, 1, 55, 18, 5920, 0, 143, 158, 80, 2, 2938]
Robot Data: [2, 57, 149, 1, 54, 18, 5640, 0, 131, 152, 92, 2, 2939]
Robot Data: [2, 11, 140, 1, 56, 18, 5360, 0, 109, 129, 80, 2, 2940]
Robot Data: [1, 3, 135, 1, 55, 18, 5080, 0, 98, 114, 70, 2, 2941]
Robot Data: [5, 1, 128, 1, 53, 18, 4800, 0, 95, 104, 56, 1, 2942]
Robot Data: [5, 2, 120, 2, 51, 18, 4520, 0, 88, 91, 40, 1, 2943]
Robot Data: [9, 2, 111, 2, 50, 18, 4240, 0, 81, 69, 22, 0, 2944]
Robot Data: [8, 2, 107, 5, 46, 18, 3960, 0, 78, 64, 14, 0, 2945]
