Start Buffer: size=211
FL, LA, RA, FR, dCount, mazeLoc, fwdSpeed, rotSpeed, lVolt, rVolt
Robot Data: [1, 80, 170, 1, 14, 0, 1400, 0, 64, 64]
Robot Data: [1, 79, 167, 1, 20, 0, 1960, 0, 76, 76]
Robot Data: [1, 80, 165, 1, 15, 0, 2000, 0, 71, 68]
Robot Data: [1, 81, 165, 0, 16, 0, 2000, 0, 72, 65]
Robot Data: [1, 83, 162, 0, 19, 0, 2000, 0, 60, 58]
Robot Data: [1, 79, 160, 0, 20, 0, 2000, 0, 57, 54]
Robot Data: [1, 81, 163, 0, 20, 0, 2000, 0, 59, 52]
Robot Data: [1, 79, 161, 0, 19, 0, 2000, 0, 61, 58]
Robot Data: [0, 82, 163, 1, 20, 0, 2000, 0, 58, 54]
Robot Data: [0, 80, 157, 1, 20, 0, 2000, 0, 56, 56]
Robot Data: [1, 82, 159, 1, 21, 0, 2000, 0, 52, 52]
Robot Data: [1, 79, 158, 1, 20, 0, 2000, 0, 56, 56]
Robot Data: [1, 83, 151, 2, 21, 0, 2000, 0, 50, 54]
Robot Data: [1, 84, 146, 0, 22, 0, 2000, 0, 48, 47]
Robot Data: [1, 82, 157, 1, 22, 0, 2000, 0, 48, 44]
Robot Data: [1, 83, 157, 0, 22, 0, 2000, 0, 45, 45]
Robot Data: [1, 82, 158, 1, 22, 0, 2000, 0, 44, 44]
Robot Data: [1, 83, 158, 1, 21, 0, 2000, 0, 47, 47]
Robot Data: [1, 83, 158, 0, 22, 0, 2000, 0, 42, 42]
Robot Data: [1, 83, 158, 0, 20, 0, 2000, 0, 51, 47]
Robot Data: [1, 81, 157, 1, 20, 0, 2000, 0, 53, 45]
Robot Data: [0, 84, 157, 2, 21, 0, 2000, 0, 46, 44]
Robot Data: [1, 84, 160, 1, 21, 0, 2000, 0, 42, 47]
Robot Data: [1, 82, 158, 1, 21, 0, 2000, 0, 42, 46]
Robot Data: [1, 84, 159, 0, 20, 0, 2000, 0, 48, 47]
Robot Data: [2, 81, 159, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [0, 83, 161, 0, 20, 0, 2000, 0, 45, 49]
Robot Data: [1, 82, 157, 0, 19, 0, 2000, 0, 51, 51]
Robot Data: [1, 85, 158, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [2, 84, 157, 0, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 83, 152, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [3, 85, 155, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [0, 83, 152, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 87, 154, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 86, 151, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 87, 153, 0, 20, 0, 2000, 0, 49, 46]
Robot Data: [2, 85, 151, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 85, 150, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 86, 150, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [3, 87, 152, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [1, 86, 149, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 86, 146, 1, 20, 0, 2000, 0, 48, 48]
Robot Data: [2, 86, 149, 1, 21, 0, 2000, 0, 44, 44]
Robot Data: [1, 85, 148, 0, 20, 0, 2000, 0, 47, 47]
Robot Data: [2, 87, 148, 2, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 88, 147, 1, 20, 0, 2000, 0, 49, 45]
Robot Data: [1, 87, 143, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [1, 90, 146, 2, 19, 0, 2000, 0, 51, 51]
Robot Data: [1, 87, 145, 1, 20, 0, 2000, 0, 50, 46]
Robot Data: [1, 89, 145, 1, 20, 0, 2000, 0, 49, 46]
Robot Data: [1, 88, 146, 1, 21, 0, 2000, 0, 46, 42]
Robot Data: [2, 86, 144, 1, 20, 0, 2000, 0, 47, 48]
Robot Data: [2, 87, 146, 0, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 87, 147, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 85, 146, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 84, 145, 1, 20, 0, 2000, 0, 47, 47]
Robot Data: [2, 84, 147, 0, 20, 0, 2000, 0, 47, 47]
Robot Data: [1, 87, 144, 0, 20, 0, 2000, 0, 45, 49]
Robot Data: [0, 88, 140, 1, 20, 0, 2000, 0, 46, 49]
Robot Data: [3, 92, 145, 1, 20, 0, 2000, 0, 49, 45]
Robot Data: [1, 93, 151, 1, 20, 0, 2000, 0, 45, 49]
