Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
1,80,170,1,14,0,1400,0,64,64,2,0,14,2.489712178296,248.9712178296,0.0,2.304,2.304,0,0
1,79,167,1,20,0,1960,0,76,76,2,0,34,6.046443861576,348.55970496144,0.0,2.7359999999999998,2.7359999999999998,0,0
1,80,165,1,15,0,2000,0,71,68,2,0,49,8.713992624036,355.673168328,0.0,2.5559999999999996,2.448,0,0
1,81,165,0,16,0,2000,0,72,65,1,1,65,11.55937797066,355.673168328,0.0,2.5919999999999996,2.34,0,0
1,83,162,0,19,0,2000,0,60,58,1,1,84,14.938273069776,355.673168328,0.0,2.1599999999999997,2.0879999999999996,0,0
1,79,160,0,20,0,2000,0,57,54,1,1,104,18.495004753056,355.673168328,0.0,2.052,1.944,0,0
1,81,163,0,20,0,2000,0,59,52,1,1,124,22.051736436336,355.673168328,0.0,2.1239999999999997,1.8719999999999999,0,0
1,79,161,0,19,0,2000,0,61,58,1,1,143,25.430631535452,355.673168328,0.0,2.1959999999999997,2.0879999999999996,0,0
0,82,163,1,20,0,2000,0,58,54,1,-1,163,28.987363218732,355.673168328,0.0,2.0879999999999996,1.944,0,0
0,80,157,1,20,0,2000,0,56,56,1,-1,183,32.544094902012,355.673168328,0.0,2.016,2.016,0,0
1,82,159,1,21,0,2000,0,52,52,2,0,204,36.278663169456,355.673168328,0.0,1.8719999999999999,1.8719999999999999,0,0
1,79,158,1,20,0,2000,0,56,56,2,0,224,39.835394852736,355.673168328,0.0,2.016,2.016,0,0
1,83,151,2,21,0,2000,0,50,54,3,-1,245,43.56996312018,355.673168328,0.0,1.7999999999999998,1.944,0,0
1,84,146,0,22,0,2000,0,48,47,1,1,267,47.482367971788,355.673168328,0.0,1.7279999999999998,1.692,0,0
1,82,157,1,22,0,2000,0,48,44,2,0,289,51.394772823396,355.673168328,0.0,1.7279999999999998,1.5839999999999999,0,0
1,83,157,0,22,0,2000,0,45,45,1,1,311,55.307177675004,355.673168328,0.0,1.6199999999999999,1.6199999999999999,0,0
1,82,158,1,22,0,2000,0,44,44,2,0,333,59.219582526612,355.673168328,0.0,1.5839999999999999,1.5839999999999999,0,0
1,83,158,1,21,0,2000,0,47,47,2,0,354,62.954150794056,355.673168328,0.0,1.692,1.692,0,0
1,83,158,0,22,0,2000,0,42,42,1,1,376,66.866555645664,355.673168328,0.0,1.5119999999999998,1.5119999999999998,0,0
1,83,158,0,20,0,2000,0,51,47,1,1,396,70.423287328944,355.673168328,0.0,1.8359999999999999,1.692,0,0
1,81,157,1,20,0,2000,0,53,45,2,0,416,73.980019012224,355.673168328,0.0,1.908,1.6199999999999999,0,0
0,84,157,2,21,0,2000,0,46,44,2,-2,437,77.714587279668,355.673168328,0.0,1.656,1.5839999999999999,0,0
1,84,160,1,21,0,2000,0,42,47,2,0,458,81.449155547112,355.673168328,0.0,1.5119999999999998,1.692,0,0
1,82,158,1,21,0,2000,0,42,46,2,0,479,85.183723814556,355.673168328,0.0,1.5119999999999998,1.656,0,0
