Front Left,Left Angle,Right Angle,Front Right,Distance Count,Maze Location,Forward Speed count,Rotation Speed count,Left Motor Volts Scaled,Right Motor Volts Scaled,Front sum,Front diff,Distance Count Travelled,Distance MM,Profile Forward Speed mm,Profile Rotation Speed deg,LeftVolts,RightVolts,Maze X,Maze Y
3,105,93,3,12,0,1400,0,66,70,6,0,12,2.1340390099680002,248.9712178296,0.0,2.376,2.52,0,0
2,107,92,2,19,0,1960,0,79,76,4,0,31,5.512934109084,348.55970496144,0.0,2.844,2.7359999999999998,0,0
2,109,93,2,14,0,2240,0,89,82,4,0,45,8.00264628738,398.35394852736,0.0,3.2039999999999997,2.952,0,0
2,108,92,1,18,0,2520,0,93,86,3,1,63,11.203704802332,448.14819209328,0.0,3.348,3.0959999999999996,0,0
2,109,93,2,21,0,2800,0,100,94,4,0,84,14.938273069776,497.9424356592,0.0,3.5999999999999996,3.384,0,0
0,108,94,1,24,0,3080,0,102,99,1,-1,108,19.206351089712,547.73667922512,0.0,3.6719999999999997,3.5639999999999996,0,0
2,105,100,2,29,0,3360,0,108,93,4,0,137,24.363612030468,597.53092279104,0.0,3.888,3.348,0,0
1,99,106,1,31,0,3640,0,122,97,2,0,168,29.876546139552,647.32516635696,0.0,4.3919999999999995,3.4919999999999995,0,0
1,94,109,1,29,0,3920,0,141,130,2,0,197,35.033807080308,697.11940992288,0.0,5.076,4.68,0,0
1,96,120,1,33,0,4200,0,138,144,2,0,230,40.90241435772,746.9136534888,0.0,4.968,5.183999999999999,0,0
0,89,130,1,40,0,4480,0,125,136,1,-1,270,48.01587772428,796.70789705472,0.0,4.5,4.896,0,0
1,85,147,1,45,0,4760,0,127,129,2,0,315,56.01852401166,846.50214062064,0.0,4.572,4.643999999999999,0,0
1,78,155,2,42,0,5040,0,157,156,3,-1,357,63.487660546548,896.29638418656,0.0,5.651999999999999,5.616,0,0
2,77,161,2,47,0,5320,0,159,155,4,0,404,71.845980002256,946.09062775248,0.0,5.723999999999999,5.579999999999999,0,0
0,73,171,1,51,0,5600,0,161,158,1,-1,455,80.91564579462,995.8848713184,0.0,5.795999999999999,5.688,0,0
0,73,176,1,53,0,5880,0,164,168,1,-1,508,90.340984755312,1045.67911488432,0.0,5.904,6.047999999999999,0,0
2,71,183,2,57,0,6160,0,167,170,4,0,565,100.47767005266,1095.47335845024,0.0,6.012,6.119999999999999,0,0
2,69,190,1,59,0,6440,0,177,180,3,1,624,110.970028518336,1145.26760201616,0.0,6.372,6.4799999999999995,0,0
1,64,194,2,61,0,6720,0,185,192,3,-1,685,121.81806015234,1195.06184558208,0.0,6.659999999999999,6.911999999999999,0,0
4,60,199,3,63,0,7000,0,189,211,7,1,748,133.021764954672,1244.856089148,0.0,6.803999999999999,7.595999999999999,0,0
2,56,205,2,68,0,7280,0,182,210,4,0,816,145.114652677824,1294.65033271392,0.0,6.552,7.56,0,0
3,55,212,1,69,0,7000,0,171,194,4,2,885,157.38537698514,1244.856089148,0.0,6.156,6.983999999999999,0,0
3,54,221,2,72,0,6720,0,146,166,5,1,957,170.189611044948,1195.06184558208,0.0,5.255999999999999,5.976,0,0
4,54,224,1,70,0,6440,0,138,154,5,3,1027,182.638171936428,1145.26760201616,0.0,4.968,5.544,0,0
5,55,221,3,67,0,6160,0,132,145,8,2,1094,194.553223075416,1095.47335845024,0.0,4.752,5.22,0,0
7,55,217,3,66,0,5880,0,115,133,10,4,1160,206.29043763024,1045.67911488432,0.0,4.14,4.787999999999999,0,0
10,58,219,4,64,0,5600,0,110,122,14,6,1224,217.671979016736,995.8848713184,0.0,3.9599999999999995,4.3919999999999995,0,0
14,55,208,7,62,0,5320,0,101,107,21,7,1286,228.697847234904,946.09062775248,0.0,3.6359999999999997,3.852,0,0
17,61,195,9,59,0,5040,0,98,93,26,8,1345,239.19020570058,896.29638418656,0.0,3.5279999999999996,3.348,0,0
18,62,115,12,56,0,4760,0,92,81,30,6,1401,249.149054413764,846.50214062064,0.0,3.312,2.916,0,0
20,64,8,15,55,0,4480,0,75,65,35,5,1456,258.930066542784,796.70789705472,0.0,2.6999999999999997,2.34,0,0
22,66,5,16,51,0,4200,0,71,65,38,6,1507,267.999732335148,746.9136534888,0.0,2.5559999999999996,2.34,0,0
25,67,6,20,47,0,3920,0,69,58,45,5,1554,276.358051790856,697.11940992288,0.0,2.484,2.0879999999999996,0,0
25,66,5,24,44,0,3640,0,60,50,49,1,1598,284.182861494072,647.32516635696,0.0,2.1599999999999997,1.7999999999999998,0,0
28,67,4,25,41,0,3360,0,50,44,53,3,1639,291.474161444796,597.53092279104,0.0,1.7999999999999998,1.5839999999999999,0,0
32,65,4,29,38,0,3080,0,37,42,61,3,1677,298.231951643028,547.73667922512,0.0,1.3319999999999999,1.5119999999999998,0,0
34,63,5,32,34,0,2800,0,39,39,66,2,1711,304.278395504604,497.9424356592,0.0,1.404,1.404,0,0
40,63,4,36,31,0,2520,0,32,32,76,4,1742,309.791329613688,448.14819209328,0.0,1.152,1.152,0,0
42,63,7,38,29,0,2240,0,19,23,80,4,1771,314.948590554444,398.35394852736,0.0,0.6839999999999999,0.828,0,0
48,64,4,42,25,0,2000,0,24,19,90,6,1796,319.394505158544,355.673168328,0.0,0.8639999999999999,0.6839999999999999,0,0
48,65,5,44,22,0,2000,0,32,29,92,4,1818,323.306910010152,355.673168328,0.0,1.152,1.0439999999999998,0,0
53,63,6,51,20,0,2000,0,39,36,104,2,1838,326.863641693432,355.673168328,0.0,1.404,1.2959999999999998,0,0
59,63,7,52,22,2,2000,0,31,28,111,7,1860,330.77604654504,355.673168328,0.0,1.1159999999999999,1.008,0,2
64,65,4,55,20,2,2000,-303,40,33,119,9,1880,334.33277822832,355.673168328,-41.164714285671,1.44,1.188,0,2
66,61,5,57,18,2,2000,-606,57,31,123,9,1898,337.533836743272,355.673168328,-82.329428571342,2.052,1.1159999999999999,0,2
